Player,Batting Classification,Bowling Classification,DOB,Debut Date
Taimur Ahmed,Right-hand batsman,Right-arm off-break,1983-07-24,2010-10-11
Sufyan Ali,Right-hand batsman,Right-arm medium-fast,1985-06-15,2010-10-11
Farhan Iqbal,Right-hand batsman,null,1981-12-03,2010-10-12
Iftikhar Ahmed,Right-hand batsman,Right-arm off-break,1990-09-03,2010-10-12
Zeeshan Mushtaq,Right-hand batsman,Right-arm fast-medium,1989-10-01,2010-10-13
Mir Wais,Right-hand batsman,Leg-break,1991-05-04,2010-10-13
Munir Ahmed,Right-hand batsman,Right-arm medium-fast,1989-03-08,2010-10-13
Ashfaq Ahmed,Right-hand batsman,Right-arm off-break,1987-04-22,2010-10-13
Jamaluddin,Right-hand batsman,Right-arm off-break,1985-11-04,2010-10-13
Nadeem Akhtar,Right-hand batsman,Right-arm off-break,1982-02-24,2010-10-13
Khurshid Anwar,Right-hand batsman,Leg-break,1987-12-02,2010-10-13
Nabeeullah,Right-hand batsman,Right-arm fast-medium,1986-12-18,2010-10-13
HH Gadekar,Right-hand batsman,Right-arm medium pace,1986-12-05,2010-10-14
MA Agarwal,Right-hand batsman,Right-arm off-break,1991-02-16,2010-10-14
G Satish,Right-hand batsman,Right-arm off-break,1988-03-15,2010-10-14
Paramveer Singh,Right-hand batsman,Leg-break and googly,1987-11-22,2010-10-14
R Pramod Anil,Right-hand batsman,Right-arm (unknown style),1990-09-30,2010-10-14
HH Watekar,Right-hand batsman,Right-arm off-break,1977-12-01,2010-10-14
AG Praveen,Right-hand batsman,Right-arm fast-medium,1984-12-16,2010-10-14
NJSR Prasad,Right-hand batsman,Right-arm medium pace,1984-09-09,2010-10-14
CM Tejas,Right-hand batsman,Right-arm off-break,1984-11-07,2010-10-14
RM Fernandez,Right-hand batsman,Right-arm medium pace,1986-09-29,2010-10-14
V Vinod Kumar,Right-hand batsman,Right-arm medium pace,1987-07-31,2010-10-14
Jafar Jamal,Right-hand batsman,Right-arm medium pace,1990-03-20,2010-10-14
KR Sreejith,Right-hand batsman,Slow left-arm orthodox,1986-10-27,2010-10-14
Sheraz Butt,Right-hand batsman,Right-arm off-break,1978-07-08,2010-10-14
Jamshed Ahmed,Left-hand batsman,Left-arm fast-medium,1988-12-10,2010-10-14
Asif Ashfaq,Right-hand batsman,Right-arm medium-fast,1990-10-24,2010-10-14
V Lenin,Right-hand batsman,Right-arm off-break,1983-01-14,2010-10-15
AM Hegde,Right-hand batsman,Leg-break,1987-07-01,2010-10-15
RV Keni,Left-hand batsman,Right-arm (unknown style),1988-04-24,2010-10-15
SA Quadri,Left-hand batsman,Right-arm medium pace,1981-12-02,2010-10-16
AD Yadav,Right-hand batsman,Right-arm medium-fast,1987-09-10,2010-10-18
VS Kamath,Right-hand batsman,Right-arm medium pace,1989-06-15,2010-10-18
G Vignesh,Right-hand batsman,Right-arm medium-fast,1981-09-11,2010-10-18
GV Sarath Babu,Right-hand batsman,Right-arm medium pace,1983-12-18,2010-10-19
BC Thomas,Right-hand batsman,Right-arm off-break,1989-06-20,2010-10-19
SN Raju,Right-hand batsman,Right-arm off-break,1988-09-04,2010-10-19
AB Sagar,Right-hand batsman,Right-arm fast-medium,1988-10-21,2010-10-19
AS Das,Right-hand batsman,Right-arm medium pace,1981-10-16,2010-10-20
AA Nandy,Right-hand batsman,Right-arm off-break,1987-09-11,2010-10-20
Mohammed Shami,Right-hand batsman,Right-arm fast-medium,1990-09-03,2010-10-20
VM Parmar,Right-hand batsman,Slow left-arm orthodox,1983-10-20,2010-10-20
AR Chauhan,Right-hand batsman,Right-arm fast-medium,1986-09-29,2010-10-20
AK Argal,Right-hand batsman,Right-arm medium pace,1988-09-21,2010-10-20
PP Khanapurkar,Left-hand batsman,Leg-break,1986-03-31,2010-10-20
Javed Khan,Right-hand batsman,Right-arm medium pace,1990-10-20,2010-10-20
AA Darekar,Left-hand batsman,Right-arm off-break,1988-07-31,2010-10-20
RD Darbar,Right-hand batsman,Right-arm off-break,1987-09-14,2010-10-20
KM Patel,Left-hand batsman,Right-arm off-break,1985-03-03,2010-10-20
SG Yadav,Right-hand batsman,Leg-break and googly,1982-04-03,2010-10-20
M Dagar,Left-hand batsman,Right-arm off-break,1990-12-17,2010-10-20
A Chandila,Right-hand batsman,Right-arm off-break,1983-12-05,2010-10-20
S Kanwar,Right-hand batsman,Right-arm off-break,1987-11-08,2010-10-20
Amitoze Singh,Right-hand batsman,Right-arm medium pace,1989-02-14,2010-10-20
G Khera,Right-hand batsman,Right-arm off-break,1991-06-04,2010-10-20
S Mishra,Right-hand batsman,Leg-break and googly,1981-11-10,2010-10-20
S Chatterjee,Left-hand batsman,Leg-break,1988-09-27,2010-10-20
Amrinder Singh,Left-hand batsman,Slow left-arm orthodox,1983-09-20,2010-10-20
SK Jena,Right-hand batsman,Right-arm fast-medium,1987-04-08,2010-10-20
PM Madkaikar,Right-hand batsman,Leg-break,1986-04-22,2010-10-20
V Tokas,Right-hand batsman,Right-arm fast-medium,1986-10-16,2010-10-20
AC Mishra,Right-hand batsman,Right-arm medium pace,1988-08-10,2010-10-20
VA Deshpande,Left-hand batsman,Right-arm off-break,1987-01-11,2010-10-20
VA Saxena,Right-hand batsman,Right-arm off-break,1980-12-03,2010-10-20
MS Khatri,Right-hand batsman,Right-arm off-break,1987-06-25,2010-10-20
V Yadav,Right-hand batsman,Leg-break and googly,1984-12-09,2010-10-20
RR Chahar,Right-hand batsman,Right-arm fast-medium,1988-12-03,2010-10-20
PR Yadav,Right-hand batsman,Right-arm medium pace,1987-08-12,2010-10-20
C Sharma,Left-hand batsman,Right-arm medium-fast,1981-07-24,2010-10-20
K Yadav,Right-hand batsman,Right-arm medium pace,1987-03-17,2010-10-20
S Saini,Right-hand batsman,Leg-break and googly,1987-02-01,2010-10-20
Rameez Khan,Left-hand batsman,Slow left-arm orthodox,1989-12-31,2010-10-20
P Bali,Right-hand batsman,Slow left-arm orthodox,1974-10-25,2010-10-21
Abid Salam,Right-hand batsman,Left-arm medium pace,1984-03-01,2010-10-21
AR Verma,Right-hand batsman,Leg-break,1990-11-28,2010-10-21
VS Yadav,Right-hand batsman,Right-arm medium pace,1982-12-14,2010-10-21
PR Parmar,Right-hand batsman,Right-arm off-break,1988-05-25,2010-10-21
Amit Kumar,Left-hand batsman,Leg-break and googly,1983-03-29,2010-10-21
UR Patel,Right-hand batsman,Right-arm (unknown style),1988-01-21,2010-10-21
AA Wakhare,Right-hand batsman,Right-arm off-break,1985-10-03,2010-10-21
UB Patel,Right-hand batsman,Right-arm off-break,1987-10-11,2010-10-22
R Choudhary,Right-hand batsman,Right-arm fast-medium,1987-12-14,2010-10-22
AB Yadav,Left-hand batsman,Slow left-arm orthodox,1986-10-02,2010-10-22
JA Kolsawala,Left-hand batsman,null,1989-10-10,2010-10-24
R Thakur,Right-hand batsman,Right-arm off-break,1978-11-28,2010-10-24
K Naqvi,Right-hand batsman,Right-arm medium pace,1982-07-11,2010-10-24
Showkat Kota,Right-hand batsman,Right-arm fast-medium,1988-05-18,2010-10-24
Dhiraj Kumar,Right-hand batsman,Slow left-arm orthodox,1987-11-21,2010-10-24
A Parashar,Right-hand batsman,Right-arm off-break,1989-04-11,2010-10-24
N Sidhu,Right-hand batsman,Right-arm medium pace,1985-11-27,2010-10-24
HH Kanitkar,Left-hand batsman,Right-arm off-break,1974-11-14,2010-10-24
MK Shah,Right-hand batsman,null,1985-03-07,2010-10-25
DL Chahar,Right-hand batsman,Right-arm medium pace,1992-08-17,2010-10-25
Navdeep Singh,Right-hand batsman,Slow left-arm orthodox,1974-01-24,2010-10-25
RS Sambyal,Right-hand batsman,Right-arm medium pace,1987-12-20,2010-10-25
BC Lara,Left-hand batsman,Leg-break and googly,1969-05-02,2010-11-13
T Panyangara,Right-hand batsman,Right-arm fast-medium,1985-10-21,2010-11-13
SM Trenchard,Right-hand batsman,Leg-break,1983-08-12,2010-11-17
B Katsande,Right-hand batsman,null,1985-06-07,2010-11-19
K Kulinga,Right-hand batsman,Right-arm off-break,1979-04-14,2010-11-21
JJ Boult,Left-hand batsman,Right-arm off-break,1985-11-29,2010-12-02
DN Hakaraia,Right-hand batsman,Right-arm medium pace,1983-05-30,2010-12-03
C Munro,Left-hand batsman,Right-arm medium pace,1987-03-11,2010-12-03
B Cachopa,Right-hand batsman,Leg-break,1988-08-08,2010-12-03
TS Nethula,Right-hand batsman,Leg-break and googly,1983-05-08,2010-12-03
SR Wells,Left-hand batsman,Right-arm medium pace,1984-07-13,2010-12-04
MA Pollard,Right-hand batsman,null,1989-11-02,2010-12-04
SJ Rhodes,Left-hand batsman,Right-arm medium pace,1986-12-01,2010-12-04
RPC Karaitiana,Right-hand batsman,Right-arm medium pace,1987-12-03,2010-12-04
J Austin-Smellie,Right-hand batsman,null,1989-10-17,2010-12-04
BM Wheeler,Right-hand batsman,Left-arm medium pace,1991-11-10,2010-12-19
TM Beaton,Right-hand batsman,Right-arm medium pace,1990-11-28,2010-12-30
MR Swart,Right-hand batsman,Right-arm off-break,1982-10-01,2010-12-30
MG Neser,Right-hand batsman,Right-arm medium pace,1990-03-29,2011-01-02
NJ Maddinson,Left-hand batsman,Slow left-arm orthodox,1991-12-21,2011-01-04
NM Lyon,Right-hand batsman,Right-arm off-break,1987-11-20,2011-01-04
LW Feldman,Right-hand batsman,Right-arm fast-medium,1984-08-01,2011-01-07
KA Hope,Right-hand batsman,Right-arm off-break,1988-11-20,2011-01-10
NE Bonner,Right-hand batsman,Leg-break,1989-01-23,2011-01-10
V Permaul,Right-hand batsman,Slow left-arm orthodox,1989-08-11,2011-01-10
JW Wells,Right-hand batsman,Right-arm medium pace,1988-08-13,2011-01-11
R Gunasekera,Left-hand batsman,Leg-break and googly,1991-07-20,2011-01-11
AS Hansra,Right-hand batsman,Right-arm slow,1984-12-29,2011-01-11
BAC Howell,Right-hand batsman,Right-arm medium pace,1988-10-05,2011-01-11
CAJ Meschede,Right-hand batsman,Right-arm medium-fast,1991-11-21,2011-01-12
CJ Haggett,Left-hand batsman,Right-arm medium-fast,1990-10-30,2011-01-12
KR McClean,Left-hand batsman,Right-arm fast,1988-01-24,2011-01-12
CR Brathwaite,Right-hand batsman,Right-arm fast-medium,1988-07-18,2011-01-13
RRS Cornwall,Right-hand batsman,Right-arm off-break,1993-02-01,2011-01-13
MA Beer,Right-hand batsman,Slow left-arm orthodox,1984-06-09,2011-01-18
H Miller,Left-hand batsman,null,1989-10-26,2011-01-18
TA Copeland,Right-hand batsman,Right-arm fast-medium,1986-03-14,2011-01-19
PJ Cummins,Right-hand batsman,Right-arm fast,1993-05-08,2011-01-19
SP Narine,Left-hand batsman,Right-arm off-break,1988-05-26,2011-01-19
NR Kumar,Right-hand batsman,Right-arm off-break,1994-05-21,2011-01-19
BK Ipson,Left-hand batsman,Slow left-arm orthodox,1980-09-17,2011-01-20
KJ Cottoy,Left-hand batsman,Leg-break,1989-11-14,2011-01-20
RH Boucher,Right-hand batsman,null,1990-07-17,2011-01-21
TJ Armstrong,Right-hand batsman,Right-arm fast-medium,1990-09-26,2011-01-22
SA Abbott,Right-hand batsman,Right-arm medium-fast,1992-02-29,2011-01-22
MW Hill,Left-hand batsman,Right-arm medium pace,1988-09-29,2011-01-22
EP Gulbis,Right-hand batsman,Right-arm fast-medium,1986-03-26,2011-01-22
DR Salpietro,Right-hand batsman,Right-arm off-break,1987-12-05,2011-01-22
SS Cotterell,Right-hand batsman,Left-arm fast-medium,1989-08-19,2011-01-23
L Lawrence,Right-hand batsman,null,1988-10-05,2011-01-23
JS Floros,Left-hand batsman,Right-arm off-break,1990-11-24,2011-01-25
ER Links,Right-hand batsman,Right-arm off-break,1989-03-25,2011-01-30
DP Conway,Left-hand batsman,Right-arm medium pace,1991-07-08,2011-02-02
KJ Abbott,Right-hand batsman,Right-arm fast-medium,1987-06-18,2011-02-02
M Shezi,Right-hand batsman,Left-arm medium-fast,1987-09-09,2011-02-02
AJ Pienaar,Right-hand batsman,Left-arm fast-medium,1989-12-12,2011-02-02
LA Doran,Right-hand batsman,Slow left-arm orthodox,1991-08-14,2011-02-05
MJG Rippon,Right-hand batsman,Slow left-arm chinaman,1991-09-14,2011-02-06
JJ Pienaar,Left-hand batsman,Right-arm medium-fast,1985-10-23,2011-02-13
CH Morris,Right-hand batsman,Right-arm fast-medium,1987-04-30,2011-02-20
SS Mondal,Left-hand batsman,Right-arm medium pace,1989-11-10,2011-03-12
AG Jungade,Right-hand batsman,Right-arm medium pace,1989-02-06,2011-03-12
AV Wankhade,Right-hand batsman,Right-arm medium pace,1992-03-14,2011-03-12
RP Verma,Right-hand batsman,Right-arm medium pace,1981-12-11,2011-03-12
V Rathee,Right-hand batsman,Right-arm off-break,1988-11-19,2011-03-12
A Hooda,Right-hand batsman,Right-arm fast-medium,1989-09-20,2011-03-12
Shawej Khan,Right-hand batsman,Right-arm fast-medium,1986-11-19,2011-03-13
V Mishra,Right-hand batsman,Slow left-arm orthodox,1992-12-27,2011-03-13
RM Yadav,Right-hand batsman,null,1989-01-15,2011-03-13
SG Praharaj,Right-hand batsman,Leg-break and googly,1992-11-10,2011-03-13
AR Bawne,Right-hand batsman,Right-arm off-break,1992-12-17,2011-03-14
CG Khurana,Right-hand batsman,Right-arm off-break,1992-11-03,2011-03-14
S Rathi,Right-hand batsman,Right-arm off-break,1990-12-06,2011-03-14
K Hooda,Right-hand batsman,Right-arm fast-medium,1989-11-15,2011-03-15
KR Smuts,Left-hand batsman,Right-arm medium-fast,1990-01-22,2011-03-18
AL Menaria,Left-hand batsman,Leg-break and googly,1990-10-29,2011-04-09
BA Bhatt,Left-hand batsman,Slow left-arm orthodox,1990-05-13,2011-04-10
R Ninan,Right-hand batsman,Right-arm off-break,1985-11-19,2011-04-14
AA Kazi,Left-hand batsman,Slow left-arm orthodox,1989-09-29,2011-05-11
KH Devdhar,Right-hand batsman,Right-arm medium-fast,1989-12-14,2011-05-21
L Gregory,Right-hand batsman,Right-arm medium pace,1992-05-24,2011-06-01
J Clark,Right-hand batsman,Right-arm medium pace,1990-10-14,2011-06-02
LA Procter,Left-hand batsman,Right-arm medium pace,1988-06-24,2011-06-02
C Rushworth,Right-hand batsman,Right-arm fast-medium,1986-07-11,2011-06-02
AS Miller,Right-hand batsman,Right-arm fast-medium,1987-09-27,2011-06-02
WRS Gidman,Left-hand batsman,Right-arm medium pace,1985-02-14,2011-06-02
RG Coughtrie,Right-hand batsman,null,1988-09-01,2011-06-02
EGC Young,Right-hand batsman,Slow left-arm orthodox,1989-05-21,2011-06-02
CB Cooke,Right-hand batsman,null,1986-05-30,2011-06-03
AJ Jones,Right-hand batsman,Left-arm medium pace,1988-11-10,2011-06-03
AJ Ball,Right-hand batsman,Left-arm medium-fast,1993-03-01,2011-06-03
A Kapil,Right-hand batsman,Right-arm fast-medium,1993-08-03,2011-06-03
TC Knight,Right-hand batsman,Slow left-arm orthodox,1993-06-28,2011-06-03
JE Root,Right-hand batsman,Right-arm off-break,1990-12-30,2011-06-03
RA Whiteley,Left-hand batsman,Left-arm medium pace,1988-09-13,2011-06-10
IA Cockbain,Right-hand batsman,Right-arm medium pace,1987-02-17,2011-06-10
KR Brown,Right-hand batsman,Right-arm medium-fast,1988-05-17,2011-06-10
SW Billings,Right-hand batsman,Right-arm medium pace,1991-06-15,2011-06-11
ZS Ansari,Left-hand batsman,Slow left-arm orthodox,1991-12-10,2011-06-13
KO Wernars,Left-hand batsman,Right-arm fast-medium,1991-06-14,2011-06-16
TS Roland-Jones,Right-hand batsman,Right-arm medium-fast,1988-01-29,2011-06-18
LWP Wells,Left-hand batsman,Leg-break  Right-arm off-break,1990-12-29,2011-06-23
Asif Ali,Right-hand batsman,Right-arm medium-fast,1991-10-01,2011-06-24
Zahoor Khan,Right-hand batsman,Right-arm medium-fast,1989-05-25,2011-06-24
Hasan Mahmood,Left-hand batsman,Slow left-arm orthodox,1991-01-01,2011-06-24
Naseer Akram,Right-hand batsman,Right-arm medium-fast,1984-04-12,2011-06-24
Zain Abbas,Left-hand batsman,Right-arm off-break,1991-11-02,2011-06-24
Zeeshan Ashraf,Left-hand batsman,Right-arm off-break,1992-05-11,2011-06-24
Rameez Raja,Right-hand batsman,Right-arm off-break,1987-07-31,2011-06-24
Adnan Mufti,Left-hand batsman,Right-arm medium-fast,1984-12-30,2011-06-24
Zahid Mansoor,Right-hand batsman,Right-arm off-break,1989-12-29,2011-06-24
Samiullah,Left-hand batsman,Slow left-arm orthodox,1986-12-10,2011-06-24
AM Rossington,Right-hand batsman,Right-arm medium pace,1993-05-05,2011-06-24
Shan Masood,Left-hand batsman,Right-arm medium-fast,1989-10-14,2011-06-25
Mohammad Waheed,Left-hand batsman,Slow left-arm orthodox,1993-08-13,2011-06-25
Emmad Ali,Left-hand batsman,Left-arm medium-fast,1991-11-29,2011-06-25
Ayaz Tasawwar,Left-hand batsman,Leg-break,1990-12-10,2011-06-25
Umaid Asif,Right-hand batsman,Right-arm medium-fast,1984-04-30,2011-06-25
Nasrullah Khan,Left-hand batsman,Left-arm fast-medium,1984-03-26,2011-06-27
Saadat Munir,Left-hand batsman,Slow left-arm orthodox,1982-08-24,2011-06-28
Nauman Masood,Right-hand batsman,Leg-break,1990-12-08,2011-06-29
Jamshed Baig,Right-hand batsman,Right-arm off-break,1986-01-27,2011-06-29
Suleman Baloch,Right-hand batsman,Right-arm fast-medium,1983-11-15,2011-06-29
JMR Taylor,Right-hand batsman,Right-arm off-break,1991-11-12,2011-07-01
SD Robson,Right-hand batsman,Leg-break,1989-07-01,2011-07-01
TE Scollay,Right-hand batsman,Right-arm off-break,1987-11-28,2011-07-01
L Evans,Right-hand batsman,Right-arm medium-fast,1987-04-26,2011-07-01
I Wardlaw,Right-hand batsman,Right-arm medium-fast,1985-06-29,2011-07-03
TR Craddock,Right-hand batsman,Leg-break,1989-07-13,2011-07-04
RI Keogh,Right-hand batsman,Right-arm off-break,1991-10-21,2011-07-09
JT Ball,Right-hand batsman,Right-arm fast-medium,1991-03-14,2011-07-10
JK Fuller,Right-hand batsman,Right-arm fast-medium,1990-01-24,2011-07-13
OP Stone,Right-hand batsman,Right-arm fast,1993-10-09,2011-07-14
AL Hughes,Right-hand batsman,Right-arm medium pace,1991-09-29,2011-07-15
VSR de Mel,Right-hand batsman,Right-arm medium-fast,1992-11-15,2011-07-21
RLB Rambukwella,Left-hand batsman,Right-arm off-break,1991-09-08,2011-07-24
HHR Kavinga,Left-hand batsman,null,1988-01-13,2011-07-24
DRF Weerasinghe,Right-hand batsman,Right-arm off-break,1987-07-28,2011-07-26
HUK Madushanka,Right-hand batsman,Right-arm fast-medium,1991-07-16,2011-07-26
MS Kamileen,Right-hand batsman,Right-arm off-break,1990-09-30,2011-07-27
AKKY Lanka,Right-hand batsman,Left-arm medium-fast,1992-10-01,2011-07-27
SCD Boralessa,Right-hand batsman,Slow left-arm orthodox,1985-08-06,2011-07-27
Shabir Noori,Right-hand batsman,Right-arm off-break,1992-02-23,2011-08-11
Gulbadeen Naib,Right-hand batsman,Right-arm medium-fast,1991-03-16,2011-08-11
Hamza Hotak,Right-hand batsman,Slow left-arm orthodox,1991-08-15,2011-08-11
KP Wadia,Right-hand batsman,Right-arm off-break,1986-02-08,2011-08-12
DJ Bell-Drummond,Right-hand batsman,Right-arm medium-fast,1993-08-04,2011-08-26
AEN Riley,Right-hand batsman,Right-arm off-break,1992-03-23,2011-08-26
KM Jarvis,Right-hand batsman,Right-arm fast-medium,1989-02-16,2011-09-16
CR Jones,Right-hand batsman,Right-arm medium pace,1990-11-05,2011-09-20
TP Ludeman,Right-hand batsman,Right-arm medium-fast,1987-06-23,2011-09-25
Matiullah Khan,Right-hand batsman,Right-arm (unknown style),1987-01-03,2011-09-25
Mohibullah,Left-hand batsman,Slow left-arm orthodox,1989-09-02,2011-09-25
Sher Hasan,Right-hand batsman,Right-arm fast-medium,1989-02-15,2011-09-25
Tanzeel Altaf,Right-hand batsman,Leg-break,1991-06-16,2011-09-25
Hamza Paracha,Right-hand batsman,Right-arm off-break,1988-09-21,2011-09-25
Mustafa Iqbal,Left-hand batsman,Slow left-arm orthodox,1989-08-30,2011-09-25
Rameez Aziz,Left-hand batsman,Right-arm off-break,1990-09-15,2011-09-25
Shahzad Haider,Right-hand batsman,Right-arm (unknown style),1987-02-03,2011-09-26
Waqas Aslam,Left-hand batsman,Right-arm off-break,1988-09-01,2011-09-26
Gul Mohammad,Right-hand batsman,null,1985-08-14,2011-09-27
Mohammad Asif,Right-hand batsman,Right-arm fast-medium,1991-11-08,2011-09-27
Nauman Habib,Right-hand batsman,Right-arm medium pace,1979-09-13,2011-09-28
Sajid Ali,Left-hand batsman,Slow left-arm orthodox,1986-03-27,2011-09-28
Junaid Nadir,Right-hand batsman,Right-arm medium-fast,1989-01-07,2011-09-28
Waqas Maqsood,Left-hand batsman,Left-arm fast-medium,1987-11-04,2011-09-28
Mohammad Sami,Right-hand batsman,Right-arm off-break,1984-12-12,2011-09-28
Moinuddin,Right-hand batsman,Right-arm off-break,1987-09-20,2011-09-28
Mohammad Zahid,Right-hand batsman,Right-arm fast,1985-11-20,2011-09-28
Najeeb Tarakai,Right-hand batsman,Right-arm off-break,1991-02-02,2011-09-28
Sami Agha,Right-hand batsman,Right-arm fast-medium,1989-06-17,2011-09-28
Najibullah Zadaran,Left-hand batsman,Right-arm off-break,1993-02-18,2011-09-28
Abdullah Mazari,Left-hand batsman,Slow left-arm orthodox,1987-03-07,2011-09-28
Qaseem Khan,Right-hand batsman,null,1993-02-01,2011-09-28
Sayed Shirzad,Left-hand batsman,Left-arm medium pace,1994-10-01,2011-09-28
Shahbaz Ahmed,Right-hand batsman,Right-arm medium-fast,1984-12-15,2011-09-29
Fazal Niazai,Right-hand batsman,Right-arm medium pace,1990-02-01,2011-09-29
Nasim Baras,Left-hand batsman,Slow left-arm orthodox,1993-05-30,2011-09-29
Moed Ahmed,Right-hand batsman,Slow left-arm orthodox,1990-07-11,2011-09-29
Sarmad Bhatti,Left-hand batsman,Right-arm medium pace,1991-09-26,2011-09-29
Rizwan Malik,Right-hand batsman,Right-arm (unknown style),1982-10-23,2011-09-29
Yamin Ahmadzai,Right-hand batsman,Right-arm medium-fast,1992-07-25,2011-09-30
Sabir Hussain,Left-hand batsman,Left-arm medium pace,1979-11-15,2011-09-30
Nasir Ahmed,Left-hand batsman,Left-arm medium-fast,1989-12-18,2011-09-30
Rumman Raees,Right-hand batsman,Left-arm medium-fast,1991-10-18,2011-09-30
